# Start Aug 13 2023 23:18:51 UTC 6mi S of Arnett, OK
# Rabbit1,1
# https://sswa.tv/wxlogs
[f,da,db,dc,ga,go,t,h,p],
[914.6,23,23,15,3602.5571,9945.3691,22.20,84.13,93186.39],
[914.6,23,23,17,3602.5571,9945.3691,22.18,84.01,93179.94],
[914.6,23,23,19,3602.5571,9945.3691,22.14,84.06,93175.20],
[914.6,23,23,21,3602.5571,9945.3691,22.12,84.07,93159.22],
[914.6,23,23,23,3602.5571,9945.3691,22.10,83.95,93173.20],
[914.6,23,23,25,3602.5571,9945.3691,22.09,83.92,93159.60],
[914.6,23,23,27,3602.5571,9945.3691,22.06,84.16,93141.58],
[914.6,23,23,29,3602.5571,9945.3691,22.05,84.69,93172.25],
[914.6,23,23,31,3602.5571,9945.3691,22.03,84.43,93165.13],
[914.6,23,23,33,3602.5571,9945.3691,22.00,84.56,93152.89],
[914.6,23,23,35,3602.5571,9945.3691,21.99,83.98,93175.04],
[914.6,23,23,37,3602.5571,9945.3691,21.97,100.00,93085.53],
[914.6,23,23,39,3602.5571,9945.3691,21.92,100.00,93157.37],
[914.6,23,23,41,3602.5571,9945.3691,21.88,100.00,93156.03],
[914.6,23,23,43,3602.5571,9945.3691,21.87,100.00,93176.13],
[914.6,23,23,45,3602.5571,9945.3691,21.84,100.00,93157.10],
[914.6,23,23,47,3602.5571,9945.3691,21.83,98.88,93078.83],
[914.6,23,23,49,3602.5571,9945.3691,21.77,94.18,93144.19],
[914.6,23,23,51,3602.5571,9945.3691,21.76,90.86,93131.61],
[914.6,23,23,53,3602.5571,9945.3691,21.74,88.84,93154.09],
[914.6,23,23,55,3602.5571,9945.3691,21.73,88.02,93134.71],
[914.6,23,23,57,3602.5571,9945.3691,21.69,87.75,93125.88],
[914.6,23,23,59,3602.5571,9945.3691,21.71,88.06,93118.76],
[914.6,23,24,1,3602.5571,9945.3691,21.70,88.51,93144.28],
[914.6,23,24,3,3602.5571,9945.3691,21.72,88.45,93152.47],
[914.6,23,24,5,3602.5571,9945.3691,21.72,88.84,93170.85],
[914.6,23,24,7,3602.5571,9945.3691,21.73,88.87,93174.61],
[914.6,23,24,9,3602.5571,9945.3691,21.72,89.31,93120.88],
[914.6,23,24,11,3602.5571,9945.3691,21.75,88.96,93156.26],
[914.6,23,24,13,3602.5571,9945.3691,21.76,89.03,93160.70],
[914.6,23,24,15,3602.5574,9945.3691,21.76,89.08,93163.77],
[914.6,23,24,17,3602.5574,9945.3691,21.76,89.31,93159.69],
[914.6,23,24,19,3602.5574,9945.3691,21.77,89.29,93177.39],
[914.6,23,24,21,3602.5574,9945.3691,21.76,89.27,93147.13],
[914.6,23,24,23,3602.5574,9945.3691,21.75,89.00,93155.30],
[914.6,23,24,25,3602.5574,9945.3691,21.76,88.61,93107.37],
[914.6,23,24,27,3602.5574,9945.3691,21.77,88.60,93174.70],
[914.6,23,24,29,3602.5574,9945.3691,21.75,88.63,93192.04],
[914.6,23,24,31,3602.5571,9945.3691,21.76,88.36,93184.57],
[914.6,23,24,33,3602.5571,9945.3691,21.78,88.37,93155.33],
[914.6,23,24,35,3602.5574,9945.3691,21.77,88.62,93217.21],
[914.6,23,24,37,3602.5574,9945.3691,21.76,88.63,93201.24],
[914.6,23,24,39,3602.5574,9945.3691,21.77,88.48,93204.64],
[914.6,23,24,41,3602.5574,9945.3691,21.77,88.07,93185.95],
[914.6,23,24,43,3602.5574,9945.3691,21.78,87.90,93197.51],
[914.6,23,24,45,3602.5574,9945.3691,21.78,87.66,93204.30],
[914.6,23,24,47,3602.5574,9945.3691,21.77,87.03,93185.95],
[914.6,23,24,49,3602.5574,9945.3691,21.78,87.02,93171.34],
[914.6,23,24,51,3602.5574,9945.3691,21.76,86.77,93175.42],
[914.6,23,24,53,3602.5574,9945.3691,21.76,86.93,93191.73],
[914.6,23,24,55,3602.5574,9945.3691,21.73,86.89,93214.84],
[914.6,23,24,57,3602.5574,9945.3691,21.73,86.93,93172.70],
[914.6,23,24,59,3602.5574,9945.3691,21.73,87.02,93201.92],
[914.6,23,25,1,3602.5574,9945.3691,21.72,87.34,93219.25],
[914.6,23,25,3,3602.5574,9945.3691,21.68,87.23,93206.00],
[914.6,23,25,5,3602.5574,9945.3691,21.69,86.93,93201.58],
[914.6,23,25,7,3602.5574,9945.3691,21.68,87.06,93207.01],
[914.6,23,25,9,3602.5571,9945.3691,21.67,87.37,93198.18],
[914.6,23,25,11,3602.5571,9945.3691,21.66,87.69,93212.10],
[914.6,23,25,13,3602.5571,9945.3691,21.65,87.92,93179.49],
[914.6,23,25,15,3602.5571,9945.3691,21.62,88.33,93147.90],
[914.6,23,25,17,3602.5571,9945.3691,21.62,88.69,93228.06],
[914.6,23,25,19,3602.5571,9945.3691,21.58,88.86,93205.29],
[914.6,23,25,21,3602.5571,9945.3691,21.54,88.95,93188.99],
[914.6,23,25,23,3602.5571,9945.3691,21.55,89.16,93226.68],
[914.6,23,25,25,3602.5571,9945.3691,21.53,89.46,93209.35],
[914.6,23,25,27,3602.5571,9945.3691,21.50,89.10,93240.93],
[914.6,23,25,29,3602.5571,9945.3691,21.47,88.90,93217.83],
[914.6,23,25,31,3602.5571,9945.3691,21.47,88.98,93230.05],
[914.6,23,25,33,3602.5571,9945.3691,21.44,89.03,93216.80],
[914.6,23,25,35,3602.5571,9945.3691,21.43,88.59,93211.36],
[914.6,23,25,37,3602.5571,9945.3691,21.42,88.80,93195.40],
[914.6,23,25,39,3602.5571,9945.3691,21.43,89.01,93236.47],
[914.6,23,25,41,3602.5571,9945.3691,21.41,89.28,93235.79],
[914.6,23,25,43,3602.5571,9945.3691,21.40,89.39,93235.43],
[914.6,23,25,45,3602.5571,9945.3691,21.40,89.37,93239.17],
[914.6,23,25,47,3602.5571,9945.3691,21.36,89.23,93241.19],
[914.6,23,25,49,3602.5571,9945.3691,21.37,89.20,93243.90],
[914.6,23,25,51,3602.5571,9945.3691,21.35,89.05,93235.40],
[914.6,23,25,53,3602.5571,9945.3691,21.36,88.98,93224.87],
[914.6,23,25,55,3602.5571,9945.3691,21.37,89.19,93231.65],
[914.6,23,25,57,3602.5571,9945.3691,21.34,89.29,93236.74],
